benchmark_request_id,server_request_id,tenant,tenant_label,round,request_number,client_start,client_end,client_latency_ms,http_status,success,error_type,error,response_bytes
af9621f3-23cc-48cc-8f7b-5e77f6572e7d,d0a8b54e-3992-40a1-a827-2e8835e62a51,POSTMAN-ISOLATION-B,B,12,24,2026-08-19T21:47:17.531545+00:00,2026-08-19T21:48:10.495525+00:00,52963.978,200,True,,,1409
6673c38a-e57e-4929-ba63-cfa697e33247,ef14772b-395c-45ec-96b4-5b5696c753ac,POSTMAN-ISOLATION-A,A,13,25,2026-08-19T21:47:28.272310+00:00,2026-08-19T21:48:23.359277+00:00,55086.964,200,True,,,712
9c4c252f-f86b-46ff-a90d-0ede32d63bf3,dd4c1462-1056-470a-90e6-5d9372eaba78,POSTMAN-ISOLATION-B,B,13,26,2026-08-19T21:48:10.495751+00:00,2026-08-19T21:49:10.914391+00:00,60418.636,500,False,HTTP_ERROR,"{""timestamp"":""2026-08-20T03:19:10.7166704"",""status"":500,""error"":""Internal Server Error"",""message"":""I/O error on POST request for \""http://localhost:11434/api/chat\"": Read timed out"",""path"":""/api/chat""}",201
86dc1e31-f5ad-4d49-bede-020f60f5d9ff,ded97eb8-6c72-4bf4-9868-def841410ecb,POSTMAN-ISOLATION-A,A,14,27,2026-08-19T21:48:23.359695+00:00,2026-08-19T21:49:23.440002+00:00,60080.306,500,False,HTTP_ERROR,"{""timestamp"":""2026-08-20T03:19:23.4327465"",""status"":500,""error"":""Internal Server Error"",""message"":""I/O error on POST request for \""http://localhost:11434/api/chat\"": Read timed out"",""path"":""/api/chat""}",201
9c6c175c-3be0-40e7-83c2-243d5ec2baf0,c08e8afd-b5dc-4048-8e36-f63c43146878,POSTMAN-ISOLATION-B,B,14,28,2026-08-19T21:49:10.915165+00:00,2026-08-19T21:50:03.855583+00:00,52940.421,200,True,,,1302
680ef2ce-2d0c-4f27-a675-ff384025c394,b1ef4e85-ff87-449c-9509-50d504e5ac1f,POSTMAN-ISOLATION-A,A,15,29,2026-08-19T21:49:23.440302+00:00,2026-08-19T21:50:14.711609+00:00,51271.304,200,True,,,589
81bd9610-38a0-4d82-a570-c865c95d96fa,d807da0d-5918-4c21-bd55-a2af9e5ac760,POSTMAN-ISOLATION-B,B,15,30,2026-08-19T21:50:03.882614+00:00,2026-08-19T21:50:52.040930+00:00,48158.318,200,True,,,1244
a96b7f83-232d-40d3-8ab8-36ca24c826f3,c873ba5f-e2ff-4c87-a337-edaaaed92804,POSTMAN-ISOLATION-A,A,16,31,2026-08-19T21:50:14.712053+00:00,2026-08-19T21:51:04.297555+00:00,49585.502,200,True,,,684
0b70536b-2a59-4377-b2ab-4ac769409547,a069bb1f-d9e0-42b2-9f27-56b1a9e42b49,POSTMAN-ISOLATION-B,B,16,32,2026-08-19T21:50:52.041121+00:00,2026-08-19T21:51:52.111438+00:00,60070.314,500,False,HTTP_ERROR,"{""timestamp"":""2026-08-20T03:21:52.093839"",""status"":500,""error"":""Internal Server Error"",""message"":""I/O error on POST request for \""http://localhost:11434/api/chat\"": Read timed out"",""path"":""/api/chat""}",200
49730eaf-1e04-41e9-9d9b-cbcf40a4319f,9d92ff70-411e-45f3-957d-5a1fc807d703,POSTMAN-ISOLATION-A,A,17,33,2026-08-19T21:51:04.298213+00:00,2026-08-19T21:52:03.829276+00:00,59531.065,200,True,,,599
0ec201b2-1b3b-4a4e-9e8c-5bf8aeb9c72f,54f77693-7764-4e0a-bb92-444740484a52,POSTMAN-ISOLATION-B,B,17,34,2026-08-19T21:51:52.111560+00:00,2026-08-19T21:52:50.631687+00:00,58520.122,200,True,,,1547
cb8f89d0-98eb-4f8f-9f0e-00c3f1b15dac,dba5db78-dd29-4d3c-87b0-1d2ab75052db,POSTMAN-ISOLATION-A,A,18,35,2026-08-19T21:52:03.829469+00:00,2026-08-19T21:53:02.995993+00:00,59166.522,200,True,,,682
e87ad34f-9bb6-4673-9d0f-a32995faa100,d70c5ed7-b616-4f8e-90bf-b0bf1c97f527,POSTMAN-ISOLATION-B,B,18,36,2026-08-19T21:52:50.632124+00:00,2026-08-19T21:53:38.988396+00:00,48356.273,200,True,,,1343
266b1f7e-132f-4ab8-b8e0-6ff9051fbc16,8023c455-b4e7-4576-bb05-f2296d4b1719,POSTMAN-ISOLATION-A,A,19,37,2026-08-19T21:53:02.996183+00:00,2026-08-19T21:53:51.686550+00:00,48690.365,200,True,,,731
fc39e5e3-e70e-44c5-b284-ec31bb7bb332,e204ceda-a4a9-46d9-8f01-b39d725921b3,POSTMAN-ISOLATION-B,B,19,38,2026-08-19T21:53:38.988574+00:00,2026-08-19T21:54:37.137988+00:00,58149.411,200,True,,,1633
6a4929fb-25c1-485e-8380-7cd441309f14,dfb9bc51-1a54-4f28-8f03-bb67bc438ba8,POSTMAN-ISOLATION-A,A,20,39,2026-08-19T21:53:51.686692+00:00,2026-08-19T21:54:48.171866+00:00,56485.171,200,True,,,651
