sequence,request_id,status_code,latency_ms,success,error
1,e7ce3221-ca0f-4b7b-b972-c853b1f616fa,200,17264.712599804625,True,
2,de6915c4-d574-4c97-a413-3a14e1b6887e,200,21532.004700042307,True,
3,9f9f52e8-b12e-42b7-bad4-ea3c8b8be9af,200,25955.52850002423,True,
4,9448bf29-549a-4a5c-b189-8460c285df75,200,16250.1823999919,True,
5,43c98c27-a865-4561-839d-a6371f6f1b03,200,20255.19739999436,True,
6,c8104c21-1db1-4d26-b49d-b8dbd2e712be,200,10607.144400011748,True,
7,606ee012-753c-4f8f-ae98-34f8cb9864f2,200,13150.877999840304,True,
8,3ad7b7f4-85bb-42ae-907f-91701941ea70,200,12136.030100053176,True,
9,40f0cff7-a4d3-4004-b23a-9885d844de74,500,30063.03480011411,False,HTTP 500
10,b8ee9d5b-6089-4dd6-aae0-b9d1908c78a3,500,30070.01750008203,False,HTTP 500
11,c6e7d0dc-3e73-4798-86a7-6628c399977e,500,30056.109099881724,False,HTTP 500
12,b771557d-d0a1-4a74-a1a6-12e63b4fab5c,500,30048.482600133866,False,HTTP 500
13,366a4ddf-47d0-4169-9ca0-6712bbf21a23,500,30058.065499877557,False,HTTP 500
14,b59ed472-06d7-4855-910e-072ff17449c7,200,22644.59400018677,True,
15,a11aca81-6311-45ed-81ad-d6895c5b256f,200,19267.799000022933,True,
16,ad04a8d8-e9e0-4cc9-ae1e-bd3221d87b4b,200,19158.01030001603,True,
17,606ddc02-6b6f-4ec8-83a1-fc6690905718,200,18628.7905999925,True,
18,c4890423-e8a1-4792-834b-5d58e1d41906,200,18382.717000087723,True,
19,13e85be6-f79e-47fe-89ea-03f749e8294b,200,13004.999299999326,True,
20,e724e7c2-46bc-40f4-a1ce-eaeac5d28c3c,200,13451.027699979022,True,
21,8b712e8f-d0a4-4fab-ac3c-7e276a9da49f,200,14878.220099955797,True,
22,dc50c03f-4dd7-4ee2-8b40-be3c7cc0c9c6,200,21771.714800037444,True,
23,786f9999-3123-45e0-ba82-a9e63f9fc21a,200,21860.200399998575,True,
24,5f15e10d-9c9b-4b67-a358-7c44723ccde6,200,17139.414600096643,True,
25,ceef847d-aa8f-429a-bb6a-e5b7a8aef2e3,200,16494.342300109565,True,
