sequence,request_id,status_code,latency_ms,success,error
1,5101a281-1a4d-4cf2-abd1-7dc7b0a76cd2,200,3304.345899960026,True,
2,bde925cc-c9f6-436a-ac7d-3ba9e8160b59,200,2004.0618001949042,True,
3,e7f33b15-27b0-443a-b2a0-8901bd6a528d,200,3423.619099892676,True,
4,13ce8f46-9a62-465a-8b24-09656fc7e2b3,200,9501.014899928123,True,
5,deafbe11-10aa-460b-803a-14113724537f,200,4493.116900091991,True,
6,6ce3a65e-6d52-4d41-8005-afe43f2225db,200,20313.62200016156,True,
7,f2bee956-7f87-4a7d-8e40-75fb84ea8818,500,30056.38339999132,False,HTTP 500
8,ea1dcf06-b7ba-4b79-9f71-b4e301f28eca,200,11675.4224000033,True,
9,7b451fc6-da70-4e08-b287-38c2b4ce85c6,200,2016.1090001929551,True,
10,18e6f8c8-5a3e-4032-bf2f-23a8582dedb4,200,3799.052400048822,True,
